Task,Delegation,Done,Due Date,Owner,Recurring?,Related to Projects Database
[Bi Competition] 得獎公布,,Yes,09/01/2025,Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
FAS 經濟壽命分析 - 找 LC 一起來報告,,Yes,07/09/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Asset 折舊&攤提更新功能,,Yes,07/14/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Andrej Karpathly: Software is changing(again),,Yes,07/14/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
Complete FAS Presentation slice 3 note,,Yes,07/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
大綜 AI one page proposal report,,Yes,07/09/2025,Keith LI,No,
Transfer NT68704 from CUBR to Fobun,,Yes,07/10/2025,Keith LI,No,
[Monthly] Financial and investment review - Make Dashboard,,No,11/08/2025,Keith LI,Yes,
看文章：https://www.notion.so/fd2dd7f9ae974d2bbf289793953eecbb?pvs=21,,Yes,07/13/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
嘉印印刷 - 做資料接收比對,,Yes,07/14/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
Review FAS VDM abnormal - Find all abnormal FAS data,,Yes,07/11/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Review FAS VDM abnormal - Review from VDM,,Yes,07/14/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Orb 虹膜掃描,,Yes,07/18/2025 19:30 (GMT+8),Keith LI,No,
騰玉龍印刷 - C# Forward sample,,Yes,07/15/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FAS 系統上VDM&CDI資料修正,,Yes,07/14/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[ECL] Essential,,Yes,07/15/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,07/20/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,07/17/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,07/11/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,07/16/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[Monthly] BI Exchange Rate Setting (View content),,No,12/01/2025,Keith LI,Yes,
GBOS Forwarder - 將多餘字串過濾掉,,Yes,07/15/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"Transfer 23,333 to Fubon stock",,Yes,09/08/2025,Keith LI,No,
騰玉龍印刷 - 測試轉發數據,,Yes,07/22/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
群組通知,,Yes,07/15/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
改 FAS 上面金額的小數點兩位顯示,,Yes,07/25/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[BUG] Asset Export en 版資產產編號 Column 顯示錯誤,,Yes,10/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Transfer NT33000 to BitPro,,Yes,07/16/2025,Keith LI,No,
查 CYW & CEY GBOS 機台,,Yes,07/16/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
https://www.notion.so/Named-Entity-Recognition-NER-in-Python-Pre-Trained-Custom-Models-YouTube-NeuralNine-f7fc447d0ce048be9a51638689df2658?pvs=21,,Yes,07/26/2025,Keith LI,No,
"湖南廠區溫度計看板 ",,Yes,07/25/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
大綜 AI 報告,,Yes,07/21/2025,Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
零件領件新增線別選項 - 內文為出庫EXCEL,,Yes,07/21/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
追 IDM1 設備採購,,Yes,07/18/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Idle Asset Self - assessed value column,,Yes,07/31/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Rex 總工務部門別,[DMS] 瑞文 (Rex),Yes,07/18/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
跟代幫武談 GBOS 中國區可接 IoT 機台,,Yes,07/18/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"學習並整理 Types of AI Agents | IBM (https://www.notion.so/Types-of-AI-Agents-IBM-a805c1a1aa5544358e922f38797bb1de?pvs=21) ",,Yes,08/31/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
Asset Picture 儲存方式 - 看內文,,No,11/06/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
ACC 影響力論壇講座 (Online),,Yes,07/26/2025 13:00 (GMT+8) → 07/27/2025 18:00 (GMT+8),Keith LI,No,
檢查 GBOS 資料同步,,Yes,07/24/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
零件領用記錄多新增一欄申請單的單位 “需求單位”,,Yes,07/28/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
騰玉龍印刷 - 稼動率數據解釋,,Yes,07/25/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
https://kafka.apache.org/quickstart - 看內文,,Yes,07/27/2025,Keith LI,No,Building a RAG software  (https://www.notion.so/Building-a-RAG-software-228406f9700780df907be05de09349ff?pvs=21)
"微服務報告進度更新 ",,Yes,07/25/2025 10:30 (GMT+8) → 12:30,Keith LI,No,
跟顧問談維修保養單 - 看內文,,Yes,07/25/2025,Keith LI,No,
[ECL] Essential,,Yes,07/27/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,07/24/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,07/25/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/create-computer-vision-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 5,,Yes,08/09/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/create-computer-vision-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 6,,Yes,08/09/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/create-computer-vision-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 7,,Yes,08/10/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
零件領件頁面顯示申請部門,,Yes,07/28/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
嘉印印刷 - 更新接收稼動率 API 儲存 DB,,Yes,08/06/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FAS 送廠維修設備保養功能,,No,11/10/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
鞋技中心與裕勝科技 - AI × 智慧製鞋應用導入實務應用研討會,,Yes,08/05/2025 13:30 (GMT+8) → 16:30,Keith LI,No,
匯入 IDM1 新增資產,,Yes,07/29/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[ECL] Life Situation,,Yes,08/08/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,08/03/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,07/31/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
大綜 AI PPT 報告,,Yes,07/30/2025,Keith LI,No,[DMS] AI Agent (https://www.notion.so/DMS-AI-Agent-22b406f9700780999811eb4d0a2307b0?pvs=21)
設備驗收單 - 設備名稱添加,,Yes,08/14/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
將報廢資產的採購金額從 BI Dashboard 篩選掉,,Yes,07/31/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FineBI 比賽開始會議,,Yes,08/01/2025 20:00 (GMT+8),Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
FAS 嵌入以上線機台 FineBI 儀表板,,Yes,10/02/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
OEE A1 → A2 升級考試,,Yes,08/09/2025,Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
拉第一大題的儀錶板 Q1、Q2、Q4、Q7,,Yes,08/04/2025,Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
Part Page 頁面搜尋框多一個 “請領狀態” 欄位選項,,Yes,08/25/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS 部門維護檢查追蹤,,Yes,08/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
零配件費用歸屬 -  領料的零件配到哪一個設備，並顯示組別,,Yes,08/06/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
零配件費用歸屬 -  領料單要包括 1 的內容,,Yes,08/11/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
零配件費用歸屬 - 領料紀錄(OPEX) 要加資產設備的組別,,Yes,08/12/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
零配件費用歸屬 - 領料紀錄 Class 加一欄 使用組別,,Yes,08/11/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
零配件費用歸屬 - 零件頁面部門搜尋框,,Yes,08/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
使用率分析 - 儀表板開啟廠區聯動,,Yes,08/12/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
CYW 資料更改 - 黃底為更改 - 看內文,,Yes,08/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
處理 CDT 保管報們更改,,Yes,08/07/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"IoT API 接收專案新增 Cursor Project Rules .mdc File ",,Yes,08/07/2025,Keith LI,No,"[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21), [DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)"
"IoT API 更改嘉印 IoT 接收 API ",,Yes,08/08/2025,Keith LI,No,"[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21), [DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)"
請盧暢與新人看廖顧問網路教學影片,,Yes,08/11/2025,Keith LI,No,
零配件費用歸屬 - 更改資產保管部門; 新增紀錄;,,Yes,08/12/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
更改 FAS 資料 CYY,,Yes,08/12/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
First meeting,,Yes,08/01/2025,Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
第三次會議,,Yes,08/07/2025,Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
Second meeting,,Yes,08/03/2025,Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
Fourth meeting,,Yes,08/12/2025 20:00 (GMT+8),Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
[ECL] Essential,,Yes,08/17/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,08/14/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,08/13/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
FAS 更新通知,,Yes,08/12/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
AI × 運動科技應用共創工作坊,,Yes,08/15/2025 13:30 (GMT+8),Keith LI,No,
[BI competition] 完成簡報,,Yes,08/17/2025,Keith LI,No,FineBi 台灣地震分析 (analysis competition)  (https://www.notion.so/FineBi-analysis-competition-228406f9700780098232de446c11fcdd?pvs=21)
Update KDM FAS assets Dept.,,Yes,08/18/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[ECL] Essential,,Yes,08/21/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,08/24/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
Receiving parts - Functional confirmation,,Yes,08/18/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
資產批量換部門功能 - 只能在同廠區,,Yes,08/18/2025,Keith LI,No,
2025 MIZUNO馬拉松接力賽,,Yes,11/02/2025 0:00 (GMT+8),Keith LI,No,
Receiving Parts - 新增按鈕 (Parts attach Assets dialog),,Yes,08/19/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Receiving Parts - 送出並列印 or 列印,,Yes,08/25/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[BUG] 權限多部門設置問題 (湖南),,Yes,09/15/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
進豐切割機 - IoT 數據接收,,Yes,08/26/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
Canva 試用到期,,Yes,09/19/2025,Keith LI,No,
檢查 IDM1 電腦車改新編號,,Yes,08/21/2025,Keith LI,No,
廖顧問聯繫單,,Yes,08/22/2025,Keith LI,No,
"Update SewingDailyData table where MachinCode = X109织带机 ",,Yes,08/25/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"IDM3 acceptance Sewing Machine ",,Yes,08/26/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FAS Upgrade (Version & MCP NuGet) !! - 看內文,,Yes,08/31/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
騰玉龍 - 刷膠機設備查看,,Yes,08/26/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
2025/9/7 13:00 Gemini CLI 研究,,Yes,09/07/2025 13:00 (GMT+8),Keith LI,No,
Review Essential,,Yes,08/27/2025,Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,08/31/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,08/28/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,08/20/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,08/30/2025 9:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,09/06/2025 9:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,08/29/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
嘉印 & GBOS Dashboard 整合,,Yes,08/29/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
Update GBOS BI Dashboard source,,Yes,09/03/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
測試 CSW6 的壓力器數據接收 .py,,Yes,09/02/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"Plan the IoT dashboard receiving daily data error in FineBi    ",,Yes,09/01/2025,Keith LI,No,"[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21), [DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)"
https://learn.microsoft.com/zh-tw/credentials/certifications/azure-ai-engineer/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2&practice-assessment-type=certification- Pedding,,Yes,10/27/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
Review Azure AI Lessons before exam - view content,,Yes,09/06/2025,Keith LI,No,"Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21), [DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)"
First meeting,,Yes,09/01/2025 20:00 (GMT+8),Keith LI,No,Spaceship Titanic (Kaggle competition) (https://www.notion.so/Spaceship-Titanic-Kaggle-competition-262406f97007804abd4dfc0a576b42e2?pvs=21)
Second meeting,,Yes,09/09/2025 20:00 (GMT+8),Keith LI,No,Spaceship Titanic (Kaggle competition) (https://www.notion.so/Spaceship-Titanic-Kaggle-competition-262406f97007804abd4dfc0a576b42e2?pvs=21)
FAS - TPM 零配件庫存功能,,No,11/07/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
把 StatusController 併在 Aggrate,,Yes,09/04/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[ECL] Life Situation,,Yes,09/05/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,09/14/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
零件領用單新增申請部門,,Yes,09/26/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
嘉印、騰宇龍 稼動率接收觀察,,Yes,09/05/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
FAS - 重新設計資產零件領用介面,,Yes,09/04/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS - 領用零件畫面布局調整,,Yes,09/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
FAS - 零件領用資料串接&流程確認,,Yes,09/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
岳庭婚禮,,Yes,10/19/2025,Keith LI,No,
FAS - 零件領用串接資料庫,,Yes,09/08/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
CSW6 氣壓數據接收方式,,Yes,09/19/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
進豐切割機 Data Forward,,Yes,09/24/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"Change Microsoft exam ",,Yes,09/08/2025,Keith LI,No,
Install Kettle ETL to FineOps service  ⇒ Next 統一稼動率格式 - EMMA,,Yes,09/30/2025,Keith LI,No,
[DMS] Design Realtime Dashboard,[DMS] 盧暢 (LC),No,11/10/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
網球比賽,,No,11/15/2025 8:00 (GMT+8),Keith LI,No,
